id,level,org,title
1,1,Sales,SE
2,4,Customer Success,CSM
3,2,Sales,AE
4,2,Engineering,SWE
5,3,Product,UI
6,1,Engineering,SWE
7,3,Product,UX
8,3,Sales,SE
9,1,Marketing,Marketing Analyst
10,3,Product,UX
11,3,Product,UX
12,2,Engineering,SWE
13,3,Marketing,Marketing Manager
14,1,Product,PM
15,3,Engineering,SWE
16,4,Product,PM
17,3,Product,UX
18,2,Sales,FSR
19,3,Sales,SE
20,2,Marketing,Marketing Manager
21,3,Marketing,Marketing Analyst
22,2,Engineering,Data Eng
23,2,Customer Success,CSM
24,3,Engineering,Data Eng
25,3,Sales,SE
26,2,Sales,AE
27,4,Sales,AE
28,4,Product,PM
29,3,Engineering,Data Eng
30,3,Engineering,SWE
31,3,Product,PM
32,2,Customer Success,CSM
33,2,Product,UI
34,4,Sales,AE
35,1,Engineering,SWE
36,3,Engineering,SWE
37,2,Sales,SE
38,3,Engineering,Data Eng
39,3,Customer Success,CSM
40,4,Customer Success,TSM
41,4,Product,UI
42,4,Customer Success,CSM
43,2,Product,PM
44,1,Sales,AE
45,4,Marketing,Marketing Manager
46,3,Engineering,Data Eng
47,3,Product,UX
48,4,Sales,FSR
49,2,Sales,SE
50,2,Customer Success,CSM
51,3,Customer Success,CSM
52,2,Product,PM
53,4,Product,UI
54,3,Customer Success,TSM
55,4,Engineering,SWE
56,2,Marketing,Marketing Manager
57,2,Marketing,Marketing Manager
58,4,Customer Success,CSE
59,2,Customer Success,CSM
60,2,Customer Success,CSE
61,2,Marketing,Marketing Manager
62,4,Engineering,SWE
63,3,Engineering,Data Eng
64,4,Engineering,Data Eng
65,2,Sales,AE
66,3,Engineering,Data Eng
67,3,Customer Success,TSM
68,4,Customer Success,CSE
69,1,Product,UI
70,4,Product,UX
71,4,Engineering,SWE
72,1,Customer Success,TSM
73,4,Product,UX
74,1,Product,PM
75,4,Customer Success,CSM
76,1,Marketing,Marketing Analyst
77,3,Product,PM
78,1,Product,UX
79,3,Sales,AE
80,2,Product,UX
81,4,Engineering,SWE
82,3,Sales,SE
83,3,Marketing,Marketing Analyst
84,4,Engineering,SWE
85,3,Marketing,Marketing Analyst
86,2,Marketing,Marketing Analyst
87,3,Customer Success,CSE
88,3,Engineering,Data Eng
89,3,Customer Success,TSM
90,1,Product,PM
91,2,Marketing,Marketing Manager
92,4,Engineering,SWE
93,4,Customer Success,TSM
94,2,Customer Success,CSE
95,2,Product,UI
96,4,Sales,SE
97,1,Marketing,Marketing Manager
98,4,Marketing,Marketing Analyst
99,3,Marketing,Marketing Analyst
100,1,Customer Success,CSE
